token11,admin-master,uid11,"admin"
token12,admin-slave,uid12,"admin"
token21,monitoring-engineer-main,uid21,"monitoring-engineer"
token22,monitoring-engineer-replica,uid22,"monitoring-engineer"
token31,security-officer-bolik,uid31,"security-officer"
token32,security-officer-lyolik,uid32,"security-officer"
token41,landlord-backender,uid41,"landlord-developers"
token42,landlord-frontender,uid42,"landlord-developers"
token51,landlord-devops-tom,uid51,"landlord-devops"
token52,landlord-devops-jerry,uid52,"landlord-devops"
token61,sales-backender,uid61,"sales-developers"
token62,sales-frontender,uid62,"sales-developers"
token71,sales-devops-batman,uid71,"sales-devops"
token72,sales-devops-robin,uid72,"sales-devops"
